rent,deposit,layout,area,orientation,floor,decoration,type,compound,street,house_id
1400,付1押1,1室0厅1卫,20平方米,朝南,中层(共18层),精装修,普通住宅,喜峰嘉园,河北 宁园街,3.11E+15
1400,付1押1,1室0厅1卫,35平方米,南北,低层(共7层),精装修,普通住宅,悦雅花园(AC区),AC区,3.11E+15
1500,付1押1,1室1厅1卫,50平方米,朝南,低层(共10层),精装修,普通住宅,盛庭名景花园,北辰 瑞景街,3.11E+15
2100,年付,2室1厅1卫,81平方米,南北,低层(共6层),精装修,普通住宅,滨河新苑,河东 富民路,3.11E+15
2000,付3押1,1室1厅1卫,68平方米,南北,低层(共17层),精装修,普通住宅,碧海鸿庭,塘沽 塘沽新村街,3.11E+15
1500,付1押1,1室0厅1卫,40平方米,朝南,低层(共18层),精装修,普通住宅,保富国际,西青 新梅江南,3.11E+15
1600,付3押1,2室1厅1卫,94平方米,南北,高层(共30层),精装修,普通住宅,远洋城滨悦花园,塘沽 胡家园街,3.11E+15
2550,付3押1,1室1厅1卫,48平方米,朝南,中层(共7层),精装修,普通住宅,金田花园,河北 望海楼街,3.11E+15
1700,付1押1,1室0厅1卫,40平方米,朝南,高层(共31层),精装修,普通住宅,王顶堤家园,西青 中北,3.11E+15
1400,付1押1,1室1厅1卫,35平方米,朝南,高层(共6层),精装修,普通住宅,流霞东里,红桥 西于庄街,3.11E+15
2200,付3押1,2室1厅1卫,91平方米,朝南,高层(共32层),精装修,普通住宅,贻成豪庭,塘沽 工农村街,3.11E+15
1600,付3押1,1室1厅1卫,69平方米,朝南,高层(共30层),精装修,普通住宅,远洋城滨愉花园,塘沽 胡家园街,3.11E+15
2150,付3押1,2室1厅1卫,83.1平方米,南北,中层(共6层),简单装修,普通住宅,先锋公寓,东丽 津塘路,3.11E+15
1550,付3押1,1室1厅1卫,38平方米,朝南,中层(共6层),简单装修,普通住宅,临营西里,河东 常州道,3.08E+15
1600,付3押1,2室1厅1卫,98平方米,南北,高层(共30层),精装修,普通住宅,远洋城滨悦花园,塘沽 胡家园街,3.10E+15
1500,付3押1,2室1厅1卫,77平方米,朝南,低层(共30层),精装修,普通住宅,星耀五洲澜海庄园,津南 津南八里台,3.11E+15
2000,付3押1,2室2厅1卫,92平方米,南北,高层(共32层),精装修,普通住宅,雅晟轩,津南 咸水沽,3.11E+15
2500,付1押1,2室1厅1卫,60平方米,南北,高层(共6层),精装修,普通住宅,华宁北里,南开 天拖南,3.11E+15
2000,付3押1,2室2厅1卫,74平方米,朝南,中层(共29层),精装修,普通住宅,晴景家园,塘沽 工农村街,3.11E+15
13000,付3押1,3室2厅1卫,113.8平方米,朝南,中层(共16层),精装修,普通住宅,格普澜轩,和平 新兴街,3.11E+15
1850,付3押1,2室1厅1卫,65平方米,东北,高层(共24层),精装修,普通住宅,富瀛洲花园,河北 建昌道街,3.10E+15
3000,付3押1,2室2厅1卫,91平方米,朝南,中层(共7层),精装修,普通住宅,盛海公寓,河北 光复道街,3.11E+15
1600,付3押1,2室1厅1卫,60平方米,南北,中层(共6层),简单装修,普通住宅,建昌里,河北 建昌道街,3.11E+15
2100,付1押1,1室1厅1卫,45平方米,朝南,低层(共10层),精装修,普通住宅,紫乐名轩,河东 一号桥,3.10E+15
7000,付3押1,2室1厅1卫,95平方米,朝南,中层(共41层),精装修,公寓,融创星河和平印,和平 南营门,2.91E+15
1300,付3押1,1室1厅1卫,38平方米,南北,高层(共6层),精装修,普通住宅,惠安里,塘沽 塘沽新村街,3.11E+15
2000,面议,1室1厅1卫,66.4平方米,朝南,中层(共28层),精装修,普通住宅,赵沽里新苑,东丽 大毕庄镇,3.11E+15
2000,面议,1室1厅1卫,47平方米,朝南,高层(共9层),精装修,普通住宅,第六大道俊东公寓,河东 上杭路,3.11E+15
2300,付3押1,2室2厅1卫,96.5平方米,朝南,高层(共18层),精装修,普通住宅,雪优花园,东丽 华明镇,3.11E+15
1500,付3押1,2室1厅1卫,83.7平方米,朝南,中层(共6层),精装修,普通住宅,红霞里(津南),津南,3.10E+15
4000,付3押1,2室1厅1卫,60平方米,南北,高层(共6层),精装修,普通住宅,健春里,河西 越秀路,3.11E+15
1300,付1押1,1室1厅1卫,35平方米,朝南,中层(共6层),精装修,普通住宅,梨秀园,西青 新梅江南,3.11E+15
2400,付3押1,2室1厅1卫,96平方米,南北,中层(共6层),精装修,普通住宅,侯台家园,西青 侯台,3.11E+15
1800,付1押1,1室1厅1卫,40平方米,南北,中层(共6层),精装修,普通住宅,晋宁北里,南开 天拖南,3.09E+15
2600,面议,3室2厅1卫,92平方米,南北,高层(共8层),精装修,普通住宅,龙湖天宸原著,津南 海河教育园区,3.11E+15
1600,付1押1,1室0厅1卫,33平方米,朝南,低层(共26层),精装修,普通住宅,中汇大厦,河北 鸿顺里街,3.11E+15
2400,付3押1,2室2厅1卫,95平方米,南北,低层(共22层),精装修,普通住宅,航天家园雅馨园,开发区 中新生态城,3.11E+15
1600,付3押1,1室1厅1卫,50平方米,南北,高层(共6层),精装修,普通住宅,千间宿舍二段,塘沽 新港街,3.11E+15
1900,付3押1,2室2厅1卫,99平方米,朝南,低层(共6层),简单装修,普通住宅,地丰里,西青 张家窝,3.10E+15
1500,半年付押1,1室1厅1卫,61.9平方米,朝南,高层(共6层),简单装修,普通住宅,詹滨西里社区,东丽 先锋路,3.10E+15
1900,付3押1,1室1厅1卫,64.2平方米,朝南,高层(共32层),精装修,普通住宅,嘉畅园,河北 建昌道街,3.11E+15
2000,付3押1,2室1厅0卫,67平方米,朝南,中层(共36层),精装修,普通住宅,碧春园,红桥 双环邨街,3.10E+15
3600,付3押1,3室2厅2卫,134平方米,南北,低层(共33层),精装修,普通住宅,金旭园,河东 鲁山道,3.11E+15
1900,付3押1,2室1厅1卫,75平方米,南北,高层(共15层),精装修,普通住宅,华润橡树湾芳润轩,东丽 华明镇,3.10E+15
4000,付3押1,2室2厅1卫,108平方米,朝南,中层(共18层),精装修,普通住宅,星月轩,开发区 第三大街,3.11E+15
1800,付3押1,1室1厅1卫,56平方米,南北,低层(共6层),精装修,普通住宅,康桥里,河北 建昌道街,3.11E+15
4200,付3押1,3室2厅2卫,124平方米,南北,中层(共8层),精装修,普通住宅,龙湖天宸原著,津南 海河教育园区,3.03E+15
2400,付3押1,2室1厅1卫,80平方米,朝南,低层(共31层),精装修,普通住宅,新城家园,塘沽 新港街,3.11E+15
5500,付3押1,3室1厅2卫,100平方米,南北,高层(共6层),精装修,普通住宅,寿安里,和平 新兴街,3.11E+15
6000,付3押1,2室1厅1卫,78.8平方米,朝南,中层(共61层),精装修,普通住宅,和平翰林公馆,和平 劝业场,3.11E+15
2000,付3押1,2室1厅1卫,80平方米,朝南,高层(共26层),简单装修,普通住宅,荣乐园,北辰 青光,3.11E+15
2200,付3押1,2室1厅1卫,86平方米,南北,高层(共33层),精装修,普通住宅,首创国际城,塘沽 工农村街,3.11E+15
2000,付3押1,2室2厅1卫,86平方米,朝南,高层(共18层),精装修,普通住宅,鲲贝园,开发区 中新生态城,3.10E+15
2400,付3押1,2室1厅1卫,95平方米,朝南,高层(共34层),精装修,普通住宅,晓镇家园,塘沽 工农村街,3.09E+15
4700,付3押1,1室1厅1卫,67.4平方米,朝南,高层(共49层),精装修,普通住宅,都会轩,和平 体育馆,3.11E+15
2300,付3押1,2室1厅1卫,79平方米,朝北,高层(共27层),简单装修,普通住宅,鸿正富贵嘉园,塘沽 新港街,3.09E+15
3500,付3押1,2室1厅1卫,54平方米,南北,中层(共6层),精装修,普通住宅,朝阳里(和平),和平,3.11E+15
3500,面议,2室2厅1卫,90.3平方米,南北,高层(共26层),精装修,其他,美域豪庭,西青 李七庄,3.11E+15
2100,面议,2室1厅1卫,104平方米,南北,高层(共6层),精装修,普通住宅,胜景花园,河北 新开河街,3.10E+15
