question,answer
YOHO湾的生活配套,距离小区500米有一个奥特莱斯购物中心，里面适合逛街，买衣服。特别适合周末去逛。
YOHO湾的不足之处,供暖效果不是很好，物业方便稍微欠缺一些。
YOHO湾的居民素质,小区年轻人相对多一些，住户大多都是白领在附近上班的。整体素质会高一些
YOHO湾的小区户型,小区共21栋楼，8层到顶，精装loft户型，面积39-80平米不等，一室、二室、三室均有
YOHO湾的小区设施,小区内部有多个座椅供人休息，小区南侧有供人散步的小广场，一些社区宣传和活动都在这里进行
YOHO湾的生活配套,小区整体东侧是小花园，北侧有奥特莱斯购物商场，西侧毗邻中心大道，南侧是空港碧波湖，商圈比较成熟
YOHO湾的居民素质,小区住户年轻人居多，主要为附近上班的白领，整体居民素质较高
YOHO湾的小区设施,小区运动设施不齐全。没有运动场地，不过小区内部有健身馆。
YOHO湾的居民素质,居住人群以空乘人员和上班白领为主。居民素质高。
YOHO湾的不足之处,楼栋内公司较多，附近吃饭的地方多，可能会有一些嘈杂，绿化略差。
YOHO湾的轨道交通,小区北侧有奥特莱斯公交站，南侧有空港东湖公交站，东侧636米是东二道公交站，共计10余条公交线路
YOHO湾的不足之处,不能落户，小区租户较多
七星花园的小区户型,七星花园共有七栋高层，按北斗七星形状排列，容积率不大于1.2，绿化率不低于57%，楼间距40-60米
七星花园的轨道交通,小区位于光明路西侧，正门南侧50米有533和536路公交车站
七星花园的其他描述,物业费1.65元每平方米每月
七星花园的小区设施,小区入口处有健身广场，3号楼和6号楼中间是人工湖景观，北侧小山旁边有标准篮球场
七星花园的不足之处,七星花园小区没有地下车库，未能实现人车分流，车位主要集中在5号楼附近分布不均匀
七贤南里(商住楼)的生活配套,小区楼下就是大型的步行街，吃喝玩乐都有。3公里到达银河商圈。
七贤南里(商住楼)的小区户型,项目在售主要户型loft 52-83平三室，楼间距大，采光无遮挡
七贤南里(商住楼)的不足之处,物业费高一些，物业费4.8元
七贤南里(商住楼)的轨道交通,距离地铁一号线陈塘庄地铁站340米  一号线由北辰刘园地铁站到李楼站
七贤南里(商住楼)的小区设施,小区中心有绿地，大概500平米，周边有儿童滑梯跷跷板等娱乐设施
万和里的不足之处,小区房龄15-20年，户型中规中矩。车位紧张
万和里的小区户型,40-50平米一居室、70-80平米偏单（两居室）。一居室单价为1.3万左右。两居室
万和里的居民素质,90%为本地区老天津籍居民，都有稳定工作。有部分外地置业自住。还有一部分外地租住居民。
